Block,Treat,Prep,Seed,Natives,Nonnatives,NF,WF,NG,WG,Amil,Acris,Atri,Afri,Aten,Bsag,Binc,Bsqu,Btec,Cmic,Cmac,Csto,Calb,Dsop,Egla,Erep,Etra,Efil,Fest,Fpud,Gari,Ksco,Lser,Lden,Mlup,Malb,Mlae,Myo,Poa,Pcom,Psand,Pavi,Pspi,Race,Stra,Sloe,Scry,Toff,Tarv,Trit
II,RS,R,S,5,189,5,188,0,1,0,0,0,1,0,0,0,0,1,0,0,0,4,0,0,0,0,0,0,0,4,84,0,0,0,8,0,0,0,0,0,3,0,0,68,21,0,0,0,0
II,HRC,HR,NS,5,247,5,245,0,2,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,5,143,0,0,1,3,0,0,0,0,0,3,0,0,62,32,0,0,0,0
II,C,C,NS,0,40,0,38,0,2,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,1,0,0,14,7,0,0,0,0
II,HC,H,NS,1,32,1,27,0,5,0,1,0,0,1,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,1,0,1,0,0,0,1,0,0,9,1,0,0,0,0
II,RC,R,NS,1,153,1,152,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,88,0,0,0,8,0,0,0,1,0,0,0,0,49,6,0,0,0,0
II,S,C,S,1,71,1,70,0,1,1,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,38,0,0,0,0,0,0,0,0,0,0,0,0,23,7,0,0,0,0
III,S,C,S,5,119,4,115,1,4,3,0,0,0,0,0,0,0,3,0,0,0,1,0,0,0,0,0,1,0,1,50,0,0,2,15,0,0,1,0,0,0,0,0,38,9,0,0,0,0
III,HRC,HR,NS,0,96,0,96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,43,0,0,1,8,0,0,0,0,0,0,0,0,35,5,0,0,0,0
III,HRS,HR,S,7,96,4,95,3,1,0,1,0,0,0,1,0,0,0,0,0,0,7,0,0,0,0,0,3,1,1,32,0,0,0,13,1,0,0,0,0,0,0,0,37,6,0,0,0,0
III,C,C,NS,1,61,1,60,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,14,0,1,0,2,0,0,0,0,0,1,0,0,29,12,0,0,0,0
III,RS,R,S,13,126,8,125,5,1,3,1,0,0,0,0,0,0,0,0,0,0,2,1,0,0,4,1,0,0,4,50,0,0,2,9,0,0,0,0,0,1,1,0,40,19,0,0,1,0
III,HC,H,NS,1,34,1,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,1,12,0,0,0,3,0,0,0,0,0,1,0,0,11,4,0,0,0,0
III,HS,H,S,2,28,2,26,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,7,0,0,0,5,0,0,0,0,0,0,0,0,9,5,0,0,0,0
III,RC,R,NS,0,56,0,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,3,0,0,0,0,0,1,0,0,31,4,0,0,0,0
IV,HS,H,S,1,22,1,20,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,1,7,0,0,0,0,0,1,0,0,8,1,0,0,0,1
IV,RS,R,S,7,88,3,87,4,1,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,3,0,0,0,3,45,0,0,0,3,0,0,0,0,0,3,1,0,24,10,0,0,0,0
IV,RC,R,NS,1,61,1,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,1,34,0,0,0,0,0,0,0,0,0,1,0,0,10,9,0,0,0,0
IV,C,C,NS,0,42,0,40,0,2,0,0,0,0,0,0,0,0,2,0,0,0,5,0,0,0,0,0,0,0,0,9,0,0,0,5,0,0,0,0,0,1,0,0,13,7,0,0,0,0
